gen,fit,cross,rec,size,wires
706,-0.125000,42,4,9,51
707,-0.125000,42,4,9,51
708,-0.125000,42,4,9,51
709,-0.125000,42,4,9,51
710,-0.125000,42,4,9,51
711,-0.125000,42,4,9,51
712,-0.125000,42,4,9,51
713,-0.125000,42,4,9,51
714,-0.125000,42,4,9,51
715,-0.125000,42,4,9,51
716,-0.125000,42,4,9,51
717,-0.125000,42,4,9,51
718,-0.125000,42,4,9,51
719,-0.125000,42,4,9,51
720,-0.125000,42,4,9,51
721,-0.125000,42,4,9,51
722,-0.125000,42,4,9,51
723,-0.125000,42,4,9,51
724,-0.125000,42,4,9,51
725,-0.125000,42,4,9,51
726,-0.125000,42,4,9,51
727,-0.125000,42,4,9,51
728,-0.125000,42,4,9,51
729,-0.125000,42,4,9,51
730,-0.125000,42,4,9,51
731,-0.125000,42,4,9,51
732,-0.125000,42,4,9,51
733,-0.125000,42,4,9,51
734,-0.125000,42,4,9,51
735,-0.125000,42,4,9,51
736,-0.125000,42,4,9,51
737,-0.125000,42,4,9,51
738,-0.125000,42,4,9,51
739,-0.125000,42,4,9,51
740,-0.125000,42,4,9,51
741,-0.125000,42,4,9,51
742,-0.125000,42,4,9,51
743,-0.125000,42,4,9,51
744,-0.125000,42,4,9,51
745,-0.125000,42,4,9,51
746,-0.109375,53,3,10,63
747,-0.109375,53,3,10,63
748,-0.109375,53,3,10,63
749,-0.109375,53,3,10,63
750,-0.109375,53,3,10,63
751,-0.109375,53,3,10,63
752,-0.109375,53,3,10,63
753,-0.109375,53,3,10,63
754,-0.109375,53,3,10,63
755,-0.109375,53,3,10,63
756,-0.109375,53,3,10,63
757,-0.109375,53,3,10,63
758,-0.109375,53,3,10,63
759,-0.109375,53,3,10,63
760,-0.109375,53,3,10,63
761,-0.109375,53,3,10,63
762,-0.109375,53,3,10,63
763,-0.109375,53,3,10,63
764,-0.109375,53,3,10,63
765,-0.109375,53,3,10,63
766,-0.109375,53,3,10,63
767,-0.109375,53,3,10,63
768,-0.109375,53,3,10,63
769,-0.109375,53,3,10,63
770,-0.109375,53,3,10,63
771,-0.109375,53,3,10,63
772,-0.109375,53,3,10,63
773,-0.109375,53,3,10,63
774,-0.109375,53,3,10,63
775,-0.109375,53,3,10,63
776,-0.109375,53,3,10,63
777,-0.109375,53,3,10,63
778,-0.109375,53,3,10,63
779,-0.109375,53,3,10,63
780,-0.109375,53,3,10,63
781,-0.109375,53,3,10,63
782,-0.109375,53,3,10,63
783,-0.109375,53,3,10,63
784,-0.109375,53,3,10,63
785,-0.109375,53,3,10,63
786,-0.109375,53,3,10,63
787,-0.109375,53,3,10,63
788,-0.109375,53,3,10,63
789,-0.109375,53,3,10,63
790,-0.109375,53,3,10,63
791,-0.109375,53,3,10,63
792,-0.109375,53,3,10,63
793,-0.109375,53,3,10,63
794,-0.109375,53,3,10,63
795,-0.109375,53,3,10,63
796,-0.109375,53,3,10,63
797,-0.109375,53,3,10,63
798,-0.109375,53,3,10,63
799,-0.109375,53,3,10,63
800,-0.109375,53,3,10,63
801,-0.109375,53,3,10,63
802,-0.109375,53,3,10,63
803,-0.109375,53,3,10,63
804,-0.109375,53,3,10,63
805,-0.109375,53,3,10,63
806,-0.109375,53,3,10,63
807,-0.109375,53,3,10,63
808,-0.109375,53,3,10,63
809,-0.109375,53,3,10,63
810,-0.109375,53,3,10,63
811,-0.109375,53,3,10,63
812,-0.109375,53,3,10,63
813,-0.109375,53,3,10,63
814,-0.109375,53,3,10,63
815,-0.109375,53,3,10,63
816,-0.109375,53,3,10,63
817,-0.109375,53,3,10,63
818,-0.109375,53,3,10,63
819,-0.109375,53,3,10,63
820,-0.109375,53,3,10,63
821,-0.109375,53,3,10,63
822,-0.109375,53,3,10,63
823,-0.109375,53,3,10,63
824,-0.109375,53,3,10,63
825,-0.109375,53,3,10,63
826,-0.109375,53,3,10,63
827,-0.109375,53,3,10,63
828,-0.109375,53,3,10,63
829,-0.109375,53,3,10,63
830,-0.109375,53,3,10,63
831,-0.109375,53,3,10,63
832,-0.109375,53,3,10,63
833,-0.109375,53,3,10,63
834,-0.109375,53,3,10,63
835,-0.109375,53,3,10,63
836,-0.109375,53,3,10,63
837,-0.109375,53,3,10,63
838,-0.109375,53,3,10,63
839,-0.109375,53,3,10,63
840,-0.109375,53,3,10,63
841,-0.109375,53,3,10,63
842,-0.109375,53,3,10,63
843,-0.109375,53,3,10,63
844,-0.109375,53,3,10,63
845,-0.109375,53,3,10,63
846,-0.109375,53,3,10,63
847,-0.109375,53,3,10,63
848,-0.109375,53,3,10,63
849,-0.109375,53,3,10,63
850,-0.109375,53,3,10,63
851,-0.109375,53,3,10,63
852,-0.109375,53,3,10,63
853,-0.109375,53,3,10,63
854,-0.109375,53,3,10,63
855,-0.109375,53,3,10,63
856,-0.109375,53,3,10,63
857,-0.109375,53,3,10,63
858,-0.109375,53,3,10,63
859,-0.109375,53,3,10,63
860,-0.109375,53,3,10,63
861,-0.109375,53,3,10,63
862,-0.109375,53,3,10,63
863,-0.109375,53,3,10,63
864,-0.109375,53,3,10,63
865,-0.109375,53,3,10,63
866,-0.109375,53,3,10,63
867,-0.109375,53,3,10,63
